sID,borough,type,siteCode,siteName,classification,easting,northing,latitude,longitude,pollutants,distance_to_exposute,distance_to_kerb,height,linked,startDate
RBL186,Richmond upon Thames,BL,CLDP0186,"Staines Rd, Twickenham jct",Roadside,514594,172737,51.442043,-0.352568,"NO2, PM25, PM10",N/A,N/A,N/A,,19-Nov-21
RBL189,Richmond upon Thames,BL,CLDP0189,Teddington High St,Roadside,515934,171084,51.426914,-0.333835,"NO2, PM25, PM10",N/A,N/A,N/A,,22-Nov-21
RBL190,Richmond upon Thames,BL,CLDP0190,Station Rd Hampton,Roadside,513693,169699,51.414921,-0.3665,"NO2, PM25, PM10",N/A,N/A,N/A,,22-Nov-21
RBL191,Richmond upon Thames,BL,CLDP0191,"Shackleton Lane, Fulwell",Roadside,515359,171647,51.432091,-0.341919,"NO2, PM25, PM10",N/A,N/A,N/A,,22-Nov-21
RBL193,Richmond upon Thames,BL,CLDP0193,Hampton Ct Rd west bound,Roadside,517495,169355,51.411057,-0.311966,"NO2, PM25, PM10",N/A,N/A,N/A,,22-Nov-21
RBL194,Richmond upon Thames,BL,CLDP0194,"High St, Hampton Wick",Roadside,517577,169484,51.412197,-0.31075,"NO2, PM25, PM10",N/A,N/A,N/A,,22-Nov-21
RBL195,Richmond upon Thames,BL,CLDP0195,Hampton Court Rd,Roadside,515322,168749,51.406052,-0.343391,"NO2, PM25, PM10",N/A,N/A,N/A,,22-Nov-21
RBL196,Richmond upon Thames,BL,CLDP0196,Church Rd A311,Roadside,514128,169495,51.413002,-0.360313,"NO2, PM25, PM10",N/A,N/A,N/A,,22-Nov-21
RBL197,Richmond upon Thames,BL,CLDP0197,"Petersham Rd, opp Russell School, TW10",Roadside,518056,173088,51.444492,-0.302668,"NO2, PM25, PM10",N/A,N/A,N/A,,22-Nov-21
RBL198,Richmond upon Thames,BL,CLDP0198,"Sheen Lane, south of j/w Vernon Rd, nr zebra crossing, SW14",Roadside,520495,175653,51.46703,-0.266714,"NO2, PM25, PM10",N/A,N/A,N/A,,22-Nov-21
RBL199,Richmond upon Thames,BL,CLDP0199,"Rocks Lane, opp houses, SW13",Roadside,522469,176446,51.473728,-0.238039,"NO2, PM25, PM10",N/A,N/A,N/A,,22-Nov-21
RBL200,Richmond upon Thames,BL,CLDP0200,"Richmond Pk, Richmond Gate, top of Star and Garter Hill",Roadside,518460,173737,51.450237,-0.296633,"NO2, PM25, PM10",N/A,N/A,N/A,,22-Nov-21
RBL201,Richmond upon Thames,BL,CLDP0201,"Queens School, Cumberland Rd,",Roadside,519213,177180,51.481022,-0.284649,"NO2, PM25, PM10",N/A,N/A,N/A,,22-Nov-21
RBL202,Richmond upon Thames,BL,CLDP0202,"Lwr Rich Rd, Chertsy Corner, nr j/w houses, opp cnr of Chtsy Ct, VS nr Kingsway,",Roadside,519853,175856,51.468987,-0.275885,"NO2, PM25, PM10",N/A,N/A,N/A,,22-Nov-21
RBL203,Richmond upon Thames,BL,CLDP0203,"High St, Barnes, nr j/w St Anns Rd, SW13",Roadside,521686,176436,51.473808,-0.249304,"NO2, PM25, PM10",N/A,N/A,N/A,,22-Nov-21
RBL204,Richmond upon Thames,BL,CLDP0204,"Burtons Road,(north side - relocated) Hampton Hill, nr j/w High St",Roadside,514531,171393,51.429974,-0.353908,"NO2, PM25, PM10",N/A,N/A,N/A,,22-Nov-21
RBL205,Richmond upon Thames,BL,CLDP0205,"High St, Mortlake, opp j/w Vineyard Path, SW14",Roadside,520641,173992,51.452065,-0.265175,"NO2, PM25, PM10",N/A,N/A,N/A,,04-Nov-21
RBL206,Richmond upon Thames,BL,CLDP0206,"Kew Rd, before j/w South Circ/ Kew Green",Roadside,519043,177353,51.482609,-0.287028,"NO2, PM25, PM10",N/A,N/A,N/A,,14-Oct-21
RBL284,Richmond upon Thames,BL,CLDP0284,"A316, Chertsey Court, Clifford Ave, nr Chertsey Corner, SW14 8AD",Roadside,519910,175941,51.469742,-0.275038,"NO2, PM25, PM10",N/A,N/A,N/A,,17-Dec-21
RBL285,Richmond upon Thames,BL,CLDP0285,Upper Richmond Road West,Roadside,520546,175404,51.464783,-0.266067,"NO2, PM25, PM10",N/A,N/A,N/A,,17-Dec-21
