siteCode,siteName,borough,latitude,longitude,averaging_period,date,pollutant,value
ME9,"Civic Centre, Morden",Merton,,,Year,2019-01-01,NO2,51.0
ME9,"Civic Centre, Morden",Merton,,,Month,2019-01-01,NO2,55.8
ME9,"Civic Centre, Morden",Merton,,,Month,2019-02-01,NO2,71.6
ME9,"Civic Centre, Morden",Merton,,,Month,2019-03-01,NO2,47.9
ME9,"Civic Centre, Morden",Merton,,,Month,2019-04-01,NO2,57.7
ME9,"Civic Centre, Morden",Merton,,,Month,2019-05-01,NO2,46.5
ME9,"Civic Centre, Morden",Merton,,,Month,2019-06-01,NO2,46.0
ME9,"Civic Centre, Morden",Merton,,,Month,2019-07-01,NO2,43.5
ME9,"Civic Centre, Morden",Merton,,,Month,2019-08-01,NO2,48.2
ME9,"Civic Centre, Morden",Merton,,,Month,2019-09-01,NO2,40.3
ME9,"Civic Centre, Morden",Merton,,,Month,2019-10-01,NO2,48.4
ME9,"Civic Centre, Morden",Merton,,,Month,2019-11-01,NO2,57.6
ME9,"Civic Centre, Morden",Merton,,,Month,2019-12-01,NO2,50.9
ME9,"Civic Centre, Morden",Merton,,,Year,2020-01-01,NO2,41.0
ME9,"Civic Centre, Morden",Merton,,,Month,2020-01-01,NO2,57.6
ME9,"Civic Centre, Morden",Merton,,,Month,2020-02-01,NO2,44.4
ME9,"Civic Centre, Morden",Merton,,,Month,2020-03-01,NO2,43.1
ME9,"Civic Centre, Morden",Merton,,,Month,2020-04-01,NO2,42.4
ME9,"Civic Centre, Morden",Merton,,,Month,2020-05-01,NO2,33.9
ME9,"Civic Centre, Morden",Merton,,,Month,2020-06-01,NO2,41.5
ME9,"Civic Centre, Morden",Merton,,,Month,2020-07-01,NO2,31.5
ME9,"Civic Centre, Morden",Merton,,,Month,2020-08-01,NO2,39.6
ME9,"Civic Centre, Morden",Merton,,,Month,2020-09-01,NO2,35.6
ME9,"Civic Centre, Morden",Merton,,,Month,2020-10-01,NO2,23.7
ME9,"Civic Centre, Morden",Merton,,,Year,2022-01-01,NO2,34.0
ME9,"Civic Centre, Morden",Merton,,,Month,2022-04-01,NO2,30.3
ME9,"Civic Centre, Morden",Merton,,,Month,2022-05-01,NO2,29.0
ME9,"Civic Centre, Morden",Merton,,,Month,2022-06-01,NO2,32.7
ME9,"Civic Centre, Morden",Merton,,,Month,2022-07-01,NO2,29.5
ME9,"Civic Centre, Morden",Merton,,,Month,2022-08-01,NO2,32.2
ME9,"Civic Centre, Morden",Merton,,,Month,2022-09-01,NO2,35.7
ME9,"Civic Centre, Morden",Merton,,,Month,2022-10-01,NO2,37.2
ME9,"Civic Centre, Morden",Merton,,,Month,2022-11-01,NO2,38.0
ME9,"Civic Centre, Morden",Merton,,,Month,2022-12-01,NO2,39.6
ME9,"Civic Centre, Morden",Merton,,,Year,2023-01-01,NO2,31.0
ME9,"Civic Centre, Morden",Merton,,,Month,2023-01-01,NO2,38.3
ME9,"Civic Centre, Morden",Merton,,,Month,2023-02-01,NO2,43.0
ME9,"Civic Centre, Morden",Merton,,,Month,2023-03-01,NO2,35.5
ME9,"Civic Centre, Morden",Merton,,,Month,2023-04-01,NO2,37.3
ME9,"Civic Centre, Morden",Merton,,,Month,2023-05-01,NO2,27.9
ME9,"Civic Centre, Morden",Merton,,,Month,2023-06-01,NO2,31.5
ME9,"Civic Centre, Morden",Merton,,,Month,2023-07-01,NO2,22.1
ME9,"Civic Centre, Morden",Merton,,,Month,2023-08-01,NO2,22.1
ME9,"Civic Centre, Morden",Merton,,,Month,2023-09-01,NO2,33.9
ME9,"Civic Centre, Morden",Merton,,,Month,2023-10-01,NO2,31.0
ME9,"Civic Centre, Morden",Merton,,,Month,2023-11-01,NO2,28.8
ME9,"Civic Centre, Morden",Merton,,,Month,2023-12-01,NO2,22.6
RI1,"Castlenau Library, Barnes",Richmond,,,Year,2000-01-01,NO2,37.0
RI1,"Castlenau Library, Barnes",Richmond,,,Year,2000-01-01,PM10,23.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2000-06-01,NO2,31.4
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2000-06-01,PM10,32.2
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2000-07-01,NO2,30.5
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2000-07-01,PM10,23.6
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2000-08-01,NO2,34.1
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2000-08-01,PM10,22.1
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2000-09-01,NO2,33.4
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2000-09-01,PM10,20.6
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2000-10-01,NO2,36.9
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2000-10-01,PM10,19.3
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2000-11-01,NO2,45.3
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2000-11-01,PM10,24.6
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2000-12-01,NO2,44.5
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2000-12-01,PM10,24.5
RI1,"Castlenau Library, Barnes",Richmond,,,Year,2001-01-01,NO2,44.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-01-01,NO2,54.9
RI1,"Castlenau Library, Barnes",Richmond,,,Year,2001-01-01,PM10,26.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-01-01,PM10,31.1
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-02-01,NO2,53.3
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-02-01,PM10,27.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-03-01,NO2,50.5
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-03-01,PM10,24.6
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-04-01,NO2,37.7
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-04-01,PM10,20.8
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-05-01,NO2,43.4
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-05-01,PM10,27.4
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-06-01,NO2,37.1
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-06-01,PM10,27.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-07-01,NO2,40.7
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-07-01,PM10,28.5
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-08-01,NO2,39.5
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-08-01,PM10,26.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-09-01,NO2,36.3
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-09-01,PM10,21.0
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-10-01,NO2,39.1
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-10-01,PM10,28.7
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-11-01,NO2,49.5
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-11-01,PM10,28.2
RI1,"Castlenau Library, Barnes",Richmond,,,Month,2001-12-01,NO2,52.5
